date,grand_prix_name,team_name,points,current_team_name,scorigami
2009-04-26,Bahrain Grand Prix,Brawn,14.0,Mercedes,1
2009-04-26,Bahrain Grand Prix,Red Bull,8.0,Red Bull,1
2009-05-10,Spanish Grand Prix,Red Bull,11.0,Red Bull,1
2009-08-30,Belgian Grand Prix,Force India,8.0,Aston Martin,1
2009-10-18,Brazilian Grand Prix,Red Bull,15.0,Red Bull,1
2010-03-14,Bahrain Grand Prix,Ferrari,43.0,Ferrari,1
2010-03-14,Bahrain Grand Prix,McLaren,21.0,McLaren,1
2010-03-14,Bahrain Grand Prix,Red Bull,16.0,Red Bull,1
2010-03-28,Australian Grand Prix,Ferrari,27.0,Ferrari,1
2010-03-28,Australian Grand Prix,McLaren,33.0,McLaren,1
2010-04-04,Malaysian Grand Prix,Red Bull,43.0,Red Bull,1
2010-04-18,Chinese Grand Prix,McLaren,43.0,McLaren,1
2010-04-18,Chinese Grand Prix,Mercedes,16.0,Mercedes,1
2010-04-18,Chinese Grand Prix,Red Bull,12.0,Red Bull,1
2010-05-09,Spanish Grand Prix,Ferrari,26.0,Ferrari,1
2010-05-09,Spanish Grand Prix,Red Bull,40.0,Red Bull,1
2010-05-30,Turkish Grand Prix,Mercedes,22.0,Mercedes,1
2010-06-13,Canadian Grand Prix,Red Bull,22.0,Red Bull,1
2010-06-27,European Grand Prix,Red Bull,25.0,Red Bull,1
2010-07-11,British Grand Prix,McLaren,30.0,McLaren,1
2010-07-11,British Grand Prix,Mercedes,17.0,Mercedes,1
2010-07-11,British Grand Prix,Red Bull,31.0,Red Bull,1
2010-07-25,German Grand Prix,McLaren,22.0,McLaren,1
2010-07-25,German Grand Prix,Red Bull,23.0,Red Bull,1
2010-08-01,Hungarian Grand Prix,Ferrari,30.0,Ferrari,1
2010-08-29,Belgian Grand Prix,McLaren,25.0,McLaren,1
2010-08-29,Belgian Grand Prix,Renault,17.0,Alpine F1 Team,1
2010-09-12,Italian Grand Prix,Ferrari,40.0,Ferrari,1
2010-09-12,Italian Grand Prix,Red Bull,20.0,Red Bull,1
2010-09-26,Singapore Grand Prix,Ferrari,29.0,Ferrari,1
2010-09-26,Singapore Grand Prix,Red Bull,33.0,Red Bull,1
2010-11-14,Abu Dhabi Grand Prix,Red Bull,29.0,Red Bull,1
2011-03-27,Australian Grand Prix,McLaren,26.0,McLaren,1
2011-03-27,Australian Grand Prix,Red Bull,35.0,Red Bull,1
2011-04-10,Malaysian Grand Prix,Red Bull,37.0,Red Bull,1
2011-04-17,Chinese Grand Prix,McLaren,37.0,McLaren,1
2011-05-08,Turkish Grand Prix,McLaren,20.0,McLaren,1
2011-05-29,Monaco Grand Prix,McLaren,23.0,McLaren,1
2011-06-26,European Grand Prix,Ferrari,28.0,Ferrari,1
2011-07-10,British Grand Prix,Ferrari,35.0,Ferrari,1
2011-07-24,German Grand Prix,Red Bull,27.0,Red Bull,1
2011-07-31,Hungarian Grand Prix,Ferrari,23.0,Ferrari,1
2011-07-31,Hungarian Grand Prix,Red Bull,28.0,Red Bull,1
2011-09-25,Singapore Grand Prix,Force India,12.0,Aston Martin,1
2011-09-25,Singapore Grand Prix,McLaren,28.0,McLaren,1
2011-10-09,Japanese Grand Prix,Ferrari,24.0,Ferrari,1
2011-10-09,Japanese Grand Prix,McLaren,35.0,McLaren,1
2011-10-30,Indian Grand Prix,McLaren,24.0,McLaren,1
2011-11-13,Abu Dhabi Grand Prix,McLaren,40.0,McLaren,1
2012-03-18,Australian Grand Prix,Red Bull,30.0,Red Bull,1
2012-03-18,Australian Grand Prix,Sauber,12.0,Sauber,1
2012-03-25,Malaysian Grand Prix,Ferrari,25.0,Ferrari,1
2012-04-15,Chinese Grand Prix,Mercedes,25.0,Mercedes,1
2012-04-22,Bahrain Grand Prix,Lotus F1,33.0,Alpine F1 Team,1
2012-05-13,Spanish Grand Prix,Lotus F1,27.0,Alpine F1 Team,1
2012-05-13,Spanish Grand Prix,Williams,25.0,Williams,1
2012-06-10,Canadian Grand Prix,Lotus F1,22.0,Alpine F1 Team,1
2012-06-10,Canadian Grand Prix,Sauber,17.0,Sauber,1
2012-06-24,European Grand Prix,Mercedes,23.0,Mercedes,1
2012-07-22,German Grand Prix,Sauber,20.0,Sauber,1
2012-09-02,Belgian Grand Prix,Force India,13.0,Aston Martin,1
2012-09-02,Belgian Grand Prix,Red Bull,26.0,Red Bull,1
2012-10-07,Japanese Grand Prix,Sauber,15.0,Sauber,1
2012-11-04,Abu Dhabi Grand Prix,Lotus F1,25.0,Alpine F1 Team,1
2012-11-25,Brazilian Grand Prix,Ferrari,33.0,Ferrari,1
2013-03-17,Australian Grand Prix,Lotus F1,26.0,Alpine F1 Team,1
2013-03-24,Malaysian Grand Prix,Mercedes,27.0,Mercedes,1
